magnetometer mgauss     acceleration magn mg    acceleration gyr mg     gyroscope mdps

-48	    -367	-382	125	    62	    172	    77	    -69	    378	    -84490	    -112420	    42000	
-328	-562	-313	-124	-132	-147	-108	110	    -104	-114520	    -20160	    -125580	
-525	-570	-132	-30	    55	    -30	    -43	    -63	    12	    -131880	    48370	    -210770	
-40	    -352	-286	0	    776	    495	    -1915	-1068	847	    -306880	    1510810	    777770	
-64	    -576	388	    66	    160	    -1259	-31	    -52	    -1074	-394240	    466270	    49770	
