

504;-240;-445;66;-34;967;25;-4;1032;-280;-2030;-770;

499;-241;-439;62;-34;975;25;-5;1032;-280;-2030;-770;

504;-246;-436;55;-34;967;26;-4;1033;-280;-2030;-770;

505;-243;-438;59;-34;956;26;-5;1032;-280;-2030;-770;

502;-246;-444;62;-30;959;26;-5;1032;-280;-2030;-770;

498;-241;-447;66;-34;956;26;-5;1032;-280;-2030;-770;

496;-241;-436;55;-38;959;25;-4;1033;-280;-2100;-770;

502;-241;-438;66;-34;963;26;-4;1032;-280;-2100;-770;

501;-241;-447;62;-30;963;25;-4;1033;-280;-2030;-770;

505;-247;-439;62;-34;948;25;-4;1032;-280;-2030;-770;

495;-247;-450;59;-38;967;25;-4;1032;-280;-2030;-770;

501;-241;-450;59;-34;963;25;-4;1034;-280;-2100;-770;

504;-253;-445;62;-34;956;26;-4;1032;-280;-2030;-770;
