435;-303;-435;51;-38;987;15;-1;1054;-350;-70;-840
;;;;;;;;;;;
433;-297;-427;59;-38;959;27;-4;1032;-280;-2030;-770
;;;;;;;;;;;
436;-309;-427;70;-34;971;28;-2;1033;-280;-2030;-770
;;;;;;;;;;;
429;-307;-435;59;-34;963;29;-4;1031;-280;-2030;-770
;;;;;;;;;;;
441;-307;-427;62;-34;944;29;-3;1033;-280;-2030;-770
;;;;;;;;;;;
433;-303;-421;66;-38;963;29;-2;1037;-280;-2030;-840
;;;;;;;;;;;
391;-241;-435;101;-58;889;81;2;971;8820;-14210;-11130
;;;;;;;;;;;
412;-262;-430;55;-58;991;20;50;1095;560;-5880;-3360
;;;;;;;;;;;
414;-226;-420;20;-97;920;-9;95;1056;10220;-18830;-4270
;;;;;;;;;;;
387;-202;-409;78;-116;991;43;76;1037;-1540;-1610;-1120
;;;;;;;;;;;
388;-213;-391;82;-108;924;42;71;1035;-630;-5320;-630
;;;;;;;;;;;
358;-556;-187;156;683;632;121;-723;745;-57890;-8190;-3710
;;;;;;;;;;;
406;-610;171;90;998;90;58;-1041;159;-13160;2870;1680
;;;;;;;;;;;
409;-570;250;47;975;-19;22;-1013;17;1190;-840;-1050
;;;;;;;;;;;
415;-583;234;70;1018;-34;27;-1057;9;2100;-700;-700
;;;;;;;;;;;
417;-531;-175;55;683;780;40;-718;852;53200;-980;-2450
;;;;;;;;;;;
409;-285;-370;43;62;932;10;-112;1016;6020;-980;-1470
;;;;;;;;;;;
405;-271;-379;51;8;979;24;-58;1039;-3220;560;70
;;;;;;;;;;;
349;141;-313;152;-771;581;102;719;656;33180;-2520;-3920
;;;;;;;;;;;
397;310;-114;59;-997;168;10;949;244;560;-3360;-630
;;;;;;;;;;;
400;325;-81;27;-1033;121;-12;979;199;3640;-490;-1820
;;;;;;;;;;;
393;345;-30;31;-1033;0;-8;981;65;770;-1190;-910
;;;;;;;;;;;
405;313;-118;16;-1021;285;-39;967;315;-29190;-5600;-1400
;;;;;;;;;;;
396;-210;-394;86;-65;979;31;57;1016;-15680;1750;-4270
;;;;;;;;;;;
199;-223;-393;429;-58;893;367;12;957;-4970;-68670;1680
;;;;;;;;;;;
-199;-273;-4;1030;20;-77;979;-54;-33;-1330;-560;-1330
;;;;;;;;;;;
-205;-267;-18;1030;8;-89;987;-38;-11;-560;-980;-350
;;;;;;;;;;;
-159;-264;-139;1002;4;250;944;-23;296;5740;29120;2520
;;;;;;;;;;;
267;-222;-399;289;-89;995;242;31;1059;-350;11200;1470
;;;;;;;;;;;
433;-226;-375;-3;-30;944;-31;-5;1011;-490;210;1190
;;;;;;;;;;;
436;-226;-372;-11;-34;932;-48;-8;1007;-910;14070;-1960
;;;;;;;;;;;
774;-258;-24;-834;-15;472;-868;-31;566;-210;23310;-5530
;;;;;;;;;;;
756;-285;172;-955;55;94;-984;-102;157;280;-1120;350
;;;;;;;;;;;
721;-283;220;-958;90;12;-990;-135;79;980;1750;1540
;;;;;;;;;;;
738;-285;222;-943;-42;105;-966;-15;183;12110;-32270;-6370
;;;;;;;;;;;
588;-226;-282;-381;-50;897;-418;14;957;-5180;-36470;1960
;;;;;;;;;;;
424;-216;-370;-38;-93;940;-84;54;970;-8120;-21210;-210
;;;;;;;;;;;
390;-219;-381;39;-54;944;3;22;1040;1190;-5810;-840
;;;;;;;;;;;
384;-202;-393;74;-58;959;40;24;1023;1330;3990;-4060
;;;;;;;;;;;
462;-370;-441;47;-50;936;9;15;1081;15120;-8260;2660
;;;;;;;;;;;
436;-352;-459;59;-42;948;22;-1;1033;-350;-2100;-770
