3	0	-132	43	35	35	35	35	59	43	31	31	43	39	
12081	12078	-30	39	31	39	27	31	35	27	27	39	27	39	
24162	12081	-143	39	31	35	35	35	4	39	39	31	27	47	
36245	12083	-93	31	31	39	23	31	35	35	43	23	27	39	
48324	12079	51	31	39	31	31	31	23	27	31	16	31	39	
60405	12081	16	43	31	39	35	31	23	47	47	0	43	43	
72486	12081	27	39	35	35	20	43	27	27	31	12	47	27	
84564	12078	27	35	39	35	35	35	23	31	51	59	27	27	
96645	12081	66	31	35	31	31	43	43	66	39	74	20	55	
108729	12084	0	35	31	39	43	39	31	47	31	62	31	35	
120814	12085	51	47	39	31	35	55	31	39	31	62	62	86	
132894	12080	31	35	39	35	31	27	27	-3	35	59	31	55	
144975	12081	43	35	35	35	35	59	43	31	31	43	39	51	
157060	12085	39	31	39	27	31	35	27	27	39	27	39	86	
169141	12081	39	31	35	35	35	4	39	39	31	27	47	35	
181222	12081	31	31	39	23	31	35	35	43	23	27	39	43	
193304	12082	31	39	31	31	31	23	27	31	16	31	39	23	
205385	12081	43	31	39	35	31	23	47	47	0	43	43	16	
217469	12084	39	35	35	20	43	27	27	31	12	47	27	8	
229553	12084	35	39	35	35	35	23	31	51	59	27	27	39	
241636	12083	31	35	31	31	43	43	66	39	74	20	55	35	
253717	12081	35	31	39	43	39	31	47	31	62	31	35	35	
265798	12081	47	39	31	35	55	31	39	31	62	62	86	35	
277880	12082	35	39	35	31	27	27	-3	35	59	31	55	62	
289960	12080	35	35	35	35	59	43	31	31	43	39	51	23	
302043	12083	31	39	27	31	35	27	27	39	27	39	86	55	
314125	12082	31	35	35	35	4	39	39	31	27	47	35	55	
326207	12082	31	39	23	31	35	35	43	23	27	39	43	51	
338285	12078	39	31	31	31	23	27	31	16	31	39	23	55	
350368	12083	31	39	35	31	23	47	47	0	43	43	16	62	
362453	12085	35	35	20	43	27	27	31	12	47	27	8	47	
374533	12080	39	35	35	35	23	31	51	59	27	27	39	51	
386615	12082	35	31	31	43	43	66	39	74	20	55	35	-249	
398696	12081	31	39	43	39	31	47	31	62	31	35	35	27	
410777	12081	39	31	35	55	31	39	31	62	62	86	35	-7	
422858	12081	39	35	31	27	27	-3	35	59	31	55	62	39	
434939	12081	35	35	35	59	43	31	31	43	39	51	23	59	
447023	12084	39	27	31	35	27	27	39	27	39	86	55	51	
459104	12081	35	35	35	4	39	39	31	27	47	35	55	20	
471184	12080	39	23	31	35	35	43	23	27	39	43	51	31	
483266	12082	31	31	31	23	27	31	16	31	39	23	55	43	
495350	12084	39	35	31	23	47	47	0	43	43	16	62	62	
507432	12082	35	20	43	27	27	31	12	47	27	8	47	51	
519512	12080	35	35	35	23	31	51	59	27	27	39	51	35	
531595	12083	31	31	43	43	66	39	74	20	55	35	-249	27	
543677	12082	39	43	39	31	47	31	62	31	35	35	27	23	
555759	12082	31	35	55	31	39	31	62	62	86	35	-7	0	
567843	12084	35	31	27	27	-3	35	59	31	55	62	39	4	
579924	12081	35	35	59	43	31	31	43	39	51	23	59	35	
592006	12082	27	31	35	27	27	39	27	39	86	55	51	47	
604087	12081	35	35	4	39	39	31	27	47	35	55	20	-3	
616166	12079	23	31	35	35	43	23	27	39	43	51	31	0	
628246	12080	31	31	23	27	31	16	31	39	23	55	43	4	
640324	12078	35	31	23	47	47	0	43	43	16	62	62	39	
652405	12081	20	43	27	27	31	12	47	27	8	47	51	86	
664486	12081	35	35	23	31	51	59	27	27	39	51	35	4	
676564	12078	31	43	43	66	39	74	20	55	35	-249	27	20	
688645	12081	43	39	31	47	31	62	31	35	35	27	23	27	
700729	12084	35	55	31	39	31	62	62	86	35	-7	0	35	
712814	12085	31	27	27	-3	35	59	31	55	62	39	4	35	
724897	12083	35	59	43	31	31	43	39	51	23	59	35	8	
736979	12082	31	35	27	27	39	27	39	86	55	51	47	0	
749061	12082	35	4	39	39	31	27	47	35	55	20	-3	16	
761143	12082	31	35	35	43	23	27	39	43	51	31	0	20	
773229	12086	31	23	27	31	16	31	39	23	55	43	4	109	
785309	12080	31	23	47	47	0	43	43	16	62	62	39	113	
797392	12083	43	27	27	31	12	47	27	8	47	51	86	47	
809479	12087	35	23	31	51	59	27	27	39	51	35	4	43	
821559	12080	43	43	66	39	74	20	55	35	-249	27	20	59	
833644	12085	39	31	47	31	62	31	35	35	27	23	27	23	
845724	12080	55	31	39	31	62	62	86	35	-7	0	35	20	
857808	12084	27	27	-3	35	59	31	55	62	39	4	35	20	
