3	0	113	164	261	374	523	644	819	585	683	788	796	846	
12082	12079	129	172	289	378	519	772	971	675	683	698	749	917	
24162	12080	183	203	261	339	562	858	803	741	644	686	679	975	
36245	12083	179	238	215	390	523	671	710	839	655	671	737	928	
48324	12079	113	168	242	394	511	534	605	737	776	706	803	854	
60405	12081	164	234	261	445	550	445	616	667	702	718	780	784	
72486	12081	133	218	312	429	554	433	612	671	823	725	792	757	
84564	12078	168	211	312	421	554	421	620	683	831	647	792	831	
96645	12081	152	179	324	394	460	495	628	683	698	686	807	893	
108729	12084	179	137	308	433	542	772	628	706	761	753	768	924	
120814	12085	176	148	332	456	577	854	597	741	807	761	764	979	
132897	12083	148	250	343	499	644	655	640	722	792	725	784	948	
144979	12082	164	261	374	523	644	819	585	683	788	796	846	905	
157061	12082	172	289	378	519	772	971	675	683	698	749	917	881	
169143	12082	203	261	339	562	858	803	741	644	686	679	975	846	
181229	12086	238	215	390	523	671	710	839	655	671	737	928	874	
193309	12080	168	242	394	511	534	605	737	776	706	803	854	975	
205392	12083	234	261	445	550	445	616	667	702	718	780	784	995	
217479	12087	218	312	429	554	433	612	671	823	725	792	757	975	
229559	12080	211	312	421	554	421	620	683	831	647	792	831	959	
241644	12085	179	324	394	460	495	628	683	698	686	807	893	944	
253724	12080	137	308	433	542	772	628	706	761	753	768	924	811	
265808	12084	148	332	456	577	854	597	741	807	761	764	979	815	
277891	12083	250	343	499	644	655	640	722	792	725	784	948	819	
289974	12083	261	374	523	644	819	585	683	788	796	846	905	874	
302055	12081	289	378	519	772	971	675	683	698	749	917	881	936	
314137	12082	261	339	562	858	803	741	644	686	679	975	846	967	
326219	12082	215	390	523	671	710	839	655	671	737	928	874	932	
338302	12083	242	394	511	534	605	737	776	706	803	854	975	846	
350381	12079	261	445	550	445	616	667	702	718	780	784	995	768	
362468	12087	312	429	554	433	612	671	823	725	792	757	975	780	
374549	12081	312	421	554	421	620	683	831	647	792	831	959	835	
386631	12082	324	394	460	495	628	683	698	686	807	893	944	885	
398711	12080	308	433	542	772	628	706	761	753	768	924	811	905	
410792	12081	332	456	577	854	597	741	807	761	764	979	815	905	
422875	12083	343	499	644	655	640	722	792	725	784	948	819	858	
434958	12083	374	523	644	819	585	683	788	796	846	905	874	815	
447039	12081	378	519	772	971	675	683	698	749	917	881	936	784	
459120	12081	339	562	858	803	741	644	686	679	975	846	967	862	
471202	12082	390	523	671	710	839	655	671	737	928	874	932	831	
483283	12081	394	511	534	605	737	776	706	803	854	975	846	854	
495360	12077	445	550	445	616	667	702	718	780	784	995	768	870	
